KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
575330,Litoöice,116,74,70,5,0,0,2,0,3,11,2,1,0,0,0,6,1,3,27,0,0,2,0,0,0,7,0
572802,MalÈ V˝kleky,106,77,77,10,0,0,8,0,5,3,1,1,0,0,0,8,0,1,20,0,0,3,1,0,0,16,0
575372,Mikulovice,947,630,624,89,1,2,44,0,33,39,6,9,4,0,2,60,0,38,203,0,1,28,1,1,1,59,3
575381,MokoöÌn,149,101,101,5,0,0,12,0,6,4,0,1,3,0,0,6,0,6,38,0,0,2,1,0,0,17,0
573035,Moraöice,73,45,45,3,0,0,1,0,2,11,0,0,0,0,0,1,0,0,22,0,0,2,0,0,0,3,0
575399,Moravany,1593,993,984,70,3,0,82,0,32,91,14,8,11,1,1,100,1,31,376,1,2,52,4,1,1,96,6
572870,NÏmËice,435,319,319,60,0,0,16,0,15,7,4,0,2,0,1,48,1,29,70,0,0,36,2,2,0,23,3
573078,Neratov,132,83,83,6,0,0,10,0,9,8,0,1,1,0,0,6,0,0,26,0,0,1,6,0,0,8,1
575429,Opatovice nad Labem,1950,1233,1222,143,0,0,99,0,39,80,19,9,35,2,3,167,0,56,378,12,6,42,15,1,1,112,3
575437,Ost¯eöany,833,550,544,62,0,3,26,0,31,45,3,7,6,0,3,67,0,21,192,0,0,20,9,2,0,46,1
575445,Ost¯etÌn,763,486,482,42,8,0,27,0,39,47,7,4,6,0,0,41,1,22,159,0,0,30,4,0,2,40,3
555134,Pardubice,69859,43794,43534,5†822,55,74,3†176,24,1†541,2†878,687,224,854,33,93,4†971,35,2†683,13†633,64,78,2†157,371,87,87,3†748,159
572942,Plch,74,53,53,2,0,0,3,0,4,2,0,1,0,0,0,6,0,1,20,0,1,4,0,0,0,9,0
